year,stno,month,PSmean,PSmin,PSmax,TXmean,TXmin,TXmax,RHmean,RHmin,RHmax,WD01mean,WD01min,WD01max,WD02mean,PPmsum,PPmax
2016,C0AH40,7,959.166666666667,957.1,961.4,27.3666666666667,24.1,31.3,78.3333333333333,62,91,1.8,0.0,4.7,216.666666666667,0.5,0.5
2016,C0AH40,8,957.167741935484,953.3,963.2,26.7,21.2,32.7,78.4516129032258,41,98,1.23225806451613,0.0,5.5,92.1612903225806,89.0,9.5
2016,C0AH40,9,959.776666666667,933.6,968.5,24.86,21.3,36.1,86.5333333333333,48,99,2.16,0.0,10.4,57.0333333333333,611.5,31.5
2016,C0AH40,10,964.3,957.4,974.8,23.9193548387097,17.9,36.8,94.0645161290323,44,99,2.42903225806452,0.0,7.6,94.8064516129032,342.5,17.5
2016,C0AH40,11,968.993333333333,963.2,975.2,19.51,15.2,28.4,87.2,58,99,2.30666666666667,0.0,7.2,60.6333333333333,199.5,9.0
2016,C0AH40,12,971.296551724138,964.5,978.5,16.8032258064516,9.0,25.7,84.7741935483871,54,99,2.64516129032258,0.0,6.9,61.5483870967742,51.5,2.5
2017,C0AH40,1,971.451612903226,962.7,979.7,15.1064516129032,8.1,23.7,86.3548387096774,61,99,2.70645161290323,0.0,7.8,49.9677419354839,45.0,2.5
2017,C0AH40,2,971.75,964.4,981.4,13.7892857142857,6.2,24.1,81.7142857142857,36,99,2.38571428571429,0.0,6.8,58.7857142857143,100.5,9.5
2017,C0AH40,3,968.416666666667,961.4,976.0,15.4366666666667,9.1,24.9,86.3,42,99,1.76,0.0,7.0,33.4,130.5,8.0
2017,C0AH40,4,965.35,956.5,975.1,19.5633333333333,9.2,29.7,88.8,31,99,1.51333333333333,0.0,6.6,93.1,95.5,6.5
2017,C0AH40,5,963.235483870968,956.3,969.3,22.4225806451613,17.3,30.4,97.3870967741936,58,99,1.45806451612903,0.0,5.0,61.6129032258064,163.5,35.5
2017,C0AH40,6,960.44,952.8,964.9,25.2666666666667,20.0,31.1,83.4117647058823,59,99,1.27333333333333,0.0,4.6,142.733333333333,790.0,78.0
2017,C0AH40,7,960.98064516129,937.9,966.8,26.7903225806452,22.2,33.0,79.2258064516129,50,99,1.28387096774194,0.0,9.4,123.258064516129,117.0,13.5
2017,C0AH40,8,960.01935483871,952.3,966.2,27.3516129032258,23.4,33.5,78.9677419354839,49,99,1.49677419354839,0.0,7.2,142.741935483871,24.0,5.5
2017,C0AH40,9,962.44,956.8,968.7,25.91,20.2,32.8,83.2333333333333,47,99,1.45666666666667,0.0,6.2,127.1,324.0,44.0
2017,C0AH40,10,965.54,956.9,976.5,21.9709677419355,14.2,32.3,88.8387096774194,59,99,2.72258064516129,0.0,8.4,71.2903225806452,724.5,31.0
2017,C0AH40,11,968.613333333333,961.3,974.9,19.35,12.9,27.5,92.6333333333333,57,99,2.75333333333333,0.0,7.9,65.9666666666667,262.5,17.0
2017,C0AH40,12,971.735483870968,965.3,980.5,14.3838709677419,8.9,21.8,87.2903225806452,60,99,3.06774193548387,0.0,7.0,36.7741935483871,209.5,3.5
2018,C0AH40,1,969.645161290323,963.3,980.0,13.6096774193548,6.5,23.2,88.6451612903226,41,99,2.62903225806452,0.0,6.9,52.5806451612903,301.0,13.5
2018,C0AH40,2,970.45,964.0,978.6,12.8321428571429,4.6,26.9,86.7142857142857,36,99,2.16428571428571,0.0,8.0,51.4285714285714,205.5,8.0
2018,C0AH40,3,967.767741935484,961.3,974.9,17.3193548387097,7.9,26.4,79.5806451612903,29,99,1.69354838709677,0.0,5.9,79.2258064516129,30.0,4.5
2018,C0AH40,4,966.066666666667,959.9,975.9,19.9533333333333,10.4,30.2,79.1666666666667,40,98,1.54666666666667,0.0,5.9,71.4666666666667,76.5,9.0
2018,C0AH40,5,963.448387096774,958.8,970.3,24.4935483870968,16.6,33.1,81.258064516129,48,99,1.23870967741935,0.0,6.5,118.322580645161,47.5,14.0
2018,C0AH40,6,958.893333333333,950.2,965.4,25.0266666666667,18.8,31.9,83.5666666666667,44,99,1.58,0.0,5.5,85.7333333333333,104.5,33.0
2018,C0AH40,7,957.641935483871,941.0,962.1,26.5193548387097,22.3,32.0,79.8709677419355,53,99,1.74193548387097,0.0,7.3,170.516129032258,279.5,35.5
2018,C0AH40,8,956.012903225806,948.1,965.7,26.0129032258065,22.1,32.8,84.1612903225806,47,99,1.19032258064516,0.0,4.2,152.483870967742,245.5,29.5
2018,C0AH40,9,962.06,956.0,968.1,24.83,19.6,32.2,81.8666666666667,53,99,1.72666666666667,0.0,7.3,71.8666666666667,686.0,84.5
2018,C0AH40,10,967.648387096774,959.9,973.0,19.9451612903226,14.4,26.3,81.4838709677419,41,99,2.50645161290323,0.0,6.4,55.4193548387097,209.5,7.0
2018,C0AH40,11,969.47,964.6,974.9,19.4066666666667,14.0,28.0,85.5333333333333,51,98,2.13,0.0,6.9,73.0333333333333,137.5,6.0
2018,C0AH40,12,971.451612903226,963.4,980.4,16.4806451612903,8.7,26.9,84.1290322580645,39,98,2.61612903225806,0.0,6.4,76.4193548387097,203.5,4.5
2019,C0AH40,1,972.432258064516,967.8,979.1,15.2645161290323,9.2,25.2,84.3225806451613,48,99,2.53870967741935,0.0,6.2,52.0,123.5,4.0
2019,C0AH40,2,970.103571428571,963.8,977.0,15.8535714285714,10.0,26.3,88.75,31,99,1.81428571428571,0.0,6.5,59.4642857142857,60.5,4.0
2019,C0AH40,3,967.412903225806,960.1,974.4,16.6193548387097,9.0,28.3,83.8387096774194,43,99,1.97096774193548,0.0,6.5,96.0967741935484,173.0,7.5
2019,C0AH40,4,964.526666666667,958.0,974.1,20.9433333333333,12.3,31.0,84.0,45,99,1.56,0.0,5.7,87.1,108.5,14.0
2019,C0AH40,5,962.570967741936,956.1,968.4,21.6451612903226,15.4,30.0,83.1290322580645,35,99,1.73870967741935,0.0,5.4,103.032258064516,335.0,44.5
2019,C0AH40,6,959.466666666667,952.4,964.9,25.6172413793103,18.9,32.0,70.0666666666667,0,99,1.24666666666667,0.0,3.9,130.166666666667,394.5,24.5
2019,C0AH40,7,958.774193548387,948.9,963.4,27.5483870967742,23.2,33.4,81.2258064516129,57,100,1.39354838709677,0.0,5.4,94.9354838709677,340.5,47.0
2019,C0AH40,8,956.696774193548,939.7,965.1,27.4451612903226,24.2,33.2,83.1481481481482,60,100,1.81290322580645,0.0,5.6,152.129032258065,287.5,26.0
2019,C0AH40,9,962.37,947.9,971.3,24.67,19.3,31.5,85.9,59,100,2.00666666666667,0.0,9.2,74.7666666666667,827.0,45.5
2019,C0AH40,10,967.293548387097,950.1,974.6,22.1064516129032,18.1,30.9,84.0967741935484,53,100,2.11612903225806,0.0,6.1,55.4193548387097,127.5,18.0
2019,C0AH40,11,968.306666666667,961.3,975.4,18.91,13.5,26.0,87.8333333333333,56,100,2.95666666666667,0.0,6.9,57.8333333333333,162.0,4.0
2019,C0AH40,12,971.106451612903,964.8,979.7,16.4451612903226,10.9,25.5,88.4838709677419,55,100,2.33548387096774,0.0,7.5,40.9032258064516,239.0,8.5
2020,C0AH40,1,969.867741935484,960.5,978.7,15.3709677419355,5.6,25.5,88.3548387096774,53,100,1.83870967741935,0.0,6.3,35.9677419354839,33.0,5.5
2020,C0AH40,2,971.732142857143,963.6,978.6,15.9821428571429,7.6,26.2,87.0357142857143,56,100,1.89642857142857,0.0,6.9,17.5714285714286,44.5,5.5
2020,C0AH40,3,965.916129032258,956.5,973.3,18.0354838709677,11.6,28.8,88.9354838709677,42,100,1.8258064516129,0.0,5.6,22.4838709677419,162.0,25.0
2020,C0AH40,4,966.076666666667,960.5,970.9,18.0933333333333,9.8,29.5,85.8,36,100,1.84666666666667,0.0,6.5,109.6,74.5,5.0
2020,C0AH40,5,959.195,954.7,963.7,24.5,20.2,31.6,87.5806451612903,55,100,1.20322580645161,0.0,4.2,68.0645161290323,328.5,27.0
2020,C0AH40,6,959.655172413793,955.1,965.1,27.6933333333333,22.8,33.5,80.2,54,99,1.27,0.0,3.6,140.866666666667,63.0,15.5
2020,C0AH40,7,960.016129032258,955.2,964.3,28.1645161290323,23.4,33.9,85.2258064516129,55,100,1.2258064516129,0.0,5.0,133.774193548387,86.5,15.0
2020,C0AH40,8,960.016666666667,953.5,965.8,27.2416666666667,23.8,32.1,85.1666666666667,61,99,1.18333333333333,0.0,3.8,84.5833333333333,233.5,35.0
2020,C0AH40,9,963.2,962.3,964.3,19.5,18.1,20.3,87.0,83,99,1.1,0.0,2.4,0.0,0.0,0.0
2020,C0AH40,10,967.229032258065,959.9,973.7,20.4354838709677,15.5,29.1,87.4838709677419,59,99,3.00322580645161,0.1,6.7,59.6774193548387,353.0,7.0
2020,C0AH40,11,970.646666666667,963.5,976.4,19.1,14.3,28.0,88.0333333333333,56,99,2.82333333333333,0.0,7.2,46.1333333333333,215.0,8.0
2021,C0AH40,1,971.529032258064,962.0,977.9,12.1838709677419,2.6,25.2,82.8709677419355,32,100,2.10322580645161,0.0,7.0,56.9354838709677,127.5,2.5
2021,C0AH40,2,969.089285714286,960.7,979.1,15.5928571428571,8.2,24.1,79.7142857142857,27,100,1.73214285714286,0.0,6.5,26.3928571428571,128.0,7.5
2021,C0AH40,3,968.287096774194,958.2,976.2,17.8838709677419,9.1,28.0,88.0322580645161,47,100,1.54516129032258,0.0,6.0,24.2903225806452,87.5,11.5
2021,C0AH40,4,966.613333333333,958.8,972.9,19.5,12.6,28.5,84.6,33,100,1.4,0.0,6.1,26.0666666666667,45.0,7.0
2021,C0AH40,5,963.11935483871,956.5,969.3,25.4806451612903,16.6,33.6,82.1612903225806,36,100,0.906451612903226,0.0,6.3,18.6129032258065,162.5,33.5
2021,C0AH40,6,959.75,953.8,965.5,26.6833333333333,19.9,33.3,78.4,33,100,1.20666666666667,0.0,4.5,89.9666666666667,273.5,80.5
2021,C0AH40,7,958.461290322581,944.7,966.8,27.1161290322581,22.3,33.8,96.4545454545455,82,97,1.22903225806452,0.0,6.4,47.6129032258064,468.0,49.5
2021,C0AH40,8,960.664516129032,949.0,967.3,26.2451612903226,22.4,31.7,85.5,66,95,0.809677419354839,0.0,3.6,7.38709677419355,247.0,33.5
